Optical Glauber:
b[fm]	dsigma/db[barn/fm]
18.030000	0.011812
18.050000	0.011605
18.070000	0.011405
18.090000	0.011211
18.110000	0.011024
18.130000	0.010842
18.150000	0.010667
18.170000	0.010497
18.190000	0.010332
18.210000	0.010173
18.230000	0.010019
18.250000	0.009870
18.270000	0.009726
18.290000	0.009587
18.310000	0.009452
18.330000	0.009322
18.350000	0.009196
18.370000	0.009074
18.390000	0.008956
18.410000	0.008843
18.430000	0.008733
18.450000	0.008626
18.470000	0.008523
18.490000	0.008424
18.510000	0.008328
18.530000	0.008236
18.550000	0.008146
18.570000	0.008060
18.590000	0.007976
18.610000	0.007895
18.630000	0.007818
18.650000	0.007743
18.670000	0.007670
18.690000	0.007600
18.710000	0.007533
18.730000	0.007468
18.750000	0.007405
18.770000	0.007344
18.790000	0.007286
18.810000	0.007230
18.830000	0.007175
18.850000	0.007123
18.870000	0.007073
18.890000	0.007024
18.910000	0.006977
18.930000	0.006932
18.950000	0.006889
18.970000	0.006847
18.990000	0.006807
19.010000	0.006769
19.030000	0.006732
19.050000	0.006696
19.070000	0.006662
19.090000	0.006629
19.110000	0.006597
19.130000	0.006567
19.150000	0.006538
19.170000	0.006510
19.190000	0.006483
19.210000	0.006457
19.230000	0.006433
19.250000	0.006409
19.270000	0.006386
19.290000	0.006365
19.310000	0.006344
19.330000	0.006324
19.350000	0.006305
19.370000	0.006287
19.390000	0.006270
19.410000	0.006253
19.430000	0.006238
19.450000	0.006223
19.470000	0.006209
19.490000	0.006195
19.510000	0.006182
19.530000	0.006170
19.550000	0.006158
19.570000	0.006147
19.590000	0.006137
19.610000	0.006127
19.630000	0.006118
19.650000	0.006109
19.670000	0.006101
19.690000	0.006093
19.710000	0.006086
19.730000	0.006079
19.750000	0.006073
19.770000	0.006067
19.790000	0.006061
19.810000	0.006056
19.830000	0.006051
19.850000	0.006047
19.870000	0.006043
19.890000	0.006040
19.910000	0.006036
19.930000	0.006033
19.950000	0.006031
19.970000	0.006028

MC Glauber:
b[fm]	dsigma/db[barn/fm]	error
0.250000	0.014326	0.001897
0.750000	0.049009	0.003510
1.250000	0.070623	0.004213
1.750000	0.108071	0.005212
2.250000	0.139487	0.005921
2.750000	0.171908	0.006573
3.250000	0.198046	0.007055
3.750000	0.228457	0.007577
4.250000	0.269926	0.008237
4.750000	0.286263	0.008482
5.250000	0.308882	0.008811
5.750000	0.360907	0.009524
6.250000	0.398606	0.010009
6.750000	0.427258	0.010363
7.250000	0.434043	0.010444
7.750000	0.465962	0.010822
8.250000	0.522511	0.011460
8.750000	0.538093	0.011629
9.250000	0.585092	0.012126
9.750000	0.580819	0.012082
10.250000	0.624299	0.012526
10.750000	0.664763	0.012926
11.250000	0.698943	0.013254
11.750000	0.730359	0.013548
12.250000	0.787913	0.014072
12.750000	0.815811	0.014319
13.250000	0.811789	0.014284
13.750000	0.741166	0.013648
14.250000	0.643902	0.012721
14.750000	0.477523	0.010955
15.250000	0.317427	0.008932
15.750000	0.193020	0.006965
16.250000	0.102793	0.005083
16.750000	0.049009	0.003510
17.250000	0.022620	0.002384
17.750000	0.010304	0.001609
18.250000	0.004524	0.001066
18.750000	0.003016	0.000871
19.250000	0.001005	0.000503
