proton dca distribution:
dca[cm]	dN/d(dca)[cm^-1]	error
17.000000	0.000073	0.000073
17.080000	0.000147	0.000104
17.160000	0.000000	0.000000
17.240000	0.000293	0.000147
17.320000	0.000073	0.000073
17.400000	0.000220	0.000127
17.480000	0.000147	0.000104
17.560000	0.000220	0.000127
17.640000	0.000220	0.000127
17.720000	0.000000	0.000000
17.800000	0.000147	0.000104
17.880000	0.000073	0.000073
17.960000	0.000073	0.000073
18.040000	0.000073	0.000073
18.120000	0.000000	0.000000
18.200000	0.000073	0.000073
18.280000	0.000147	0.000104
18.360000	0.000147	0.000104
18.440000	0.000147	0.000104
18.520000	0.000073	0.000073
18.600000	0.000073	0.000073
18.680000	0.000073	0.000073
18.760000	0.000000	0.000000
18.840000	0.000073	0.000073
18.920000	0.000147	0.000104
19.000000	0.000073	0.000073
19.080000	0.000000	0.000000
19.160000	0.000000	0.000000
19.240000	0.000000	0.000000
19.320000	0.000000	0.000000
19.400000	0.000073	0.000073
19.480000	0.000000	0.000000
19.560000	0.000073	0.000073
19.640000	0.000073	0.000073
19.720000	0.000073	0.000073
19.800000	0.000000	0.000000
19.880000	0.000000	0.000000
19.960000	0.000073	0.000073
proton dca distribution fitted:
dca[cm]	dN/d(dca)[cm^-1]	error
0.040000	0.071135	0.002283
0.120000	0.199706	0.003825
0.200000	0.277581	0.004509
0.280000	0.284248	0.004563
0.360000	0.263808	0.004396
0.440000	0.231940	0.004122
0.520000	0.189230	0.003723
0.600000	0.148644	0.003300
0.680000	0.119707	0.002961
0.760000	0.094580	0.002632
0.840000	0.082349	0.002456
0.920000	0.068514	0.002240
1.000000	0.056671	0.002037
1.080000	0.051521	0.001941
1.160000	0.045603	0.001824
1.240000	0.040103	0.001707
1.320000	0.037673	0.001650
1.400000	0.034949	0.001581
1.480000	0.032594	0.001517
1.560000	0.026430	0.001349
1.640000	0.027292	0.001359
1.720000	0.026230	0.001315
1.800000	0.024624	0.001252
1.880000	0.022238	0.001161
1.960000	0.022502	0.001149
2.040000	0.021885	0.001109
2.120000	0.021915	0.001089
2.200000	0.022584	0.001092
2.280000	0.018681	0.000930
2.360000	0.018775	0.000912
2.440000	0.019711	0.000930
2.520000	0.019730	0.000912
2.600000	0.016854	0.000768
2.680000	0.018628	0.000832
2.760000	0.016557	0.000718
2.840000	0.018114	0.000779
2.920000	0.017368	0.000729
3.000000	0.016226	0.000655
3.080000	0.017181	0.000695
3.160000	0.017158	0.000683
3.240000	0.016820	0.000655
3.320000	0.015949	0.000595
3.400000	0.015719	0.000572
3.480000	0.015693	0.000563
3.560000	0.014699	0.000486
3.640000	0.016184	0.000581
3.720000	0.016119	0.000572
3.800000	0.014871	0.000480
3.880000	0.015154	0.000497
3.960000	0.014769	0.000463
4.040000	0.014450	0.000433
4.120000	0.014858	0.000463
4.200000	0.014455	0.000427
4.280000	0.014340	0.000414
4.360000	0.014222	0.000401
4.440000	0.013660	0.000344
4.520000	0.014707	0.000440
4.600000	0.014945	0.000458
4.680000	0.014082	0.000381
4.760000	0.013143	0.000274
4.840000	0.013669	0.000336
4.920000	0.013972	0.000366
5.000000	0.014275	0.000395
5.080000	0.013770	0.000344
5.160000	0.013850	0.000351
5.240000	0.013563	0.000319
5.320000	0.013202	0.000274
5.400000	0.013207	0.000274
5.480000	0.013431	0.000302
5.560000	0.012922	0.000232
5.640000	0.013731	0.000336
5.720000	0.013074	0.000254
5.800000	0.013296	0.000284
5.880000	0.013152	0.000264
5.960000	0.013227	0.000274
6.040000	0.013008	0.000243
6.120000	0.012790	0.000207
6.200000	0.012791	0.000207
6.280000	0.012865	0.000220
6.360000	0.013452	0.000302
6.440000	0.012794	0.000207
6.520000	0.012941	0.000232
6.600000	0.013015	0.000243
6.680000	0.012722	0.000194
6.760000	0.012796	0.000207
6.840000	0.012723	0.000194
6.920000	0.013017	0.000243
7.000000	0.012651	0.000179
7.080000	0.012871	0.000220
7.160000	0.012505	0.000147
7.240000	0.012505	0.000147
7.320000	0.012651	0.000179
7.400000	0.012432	0.000127
7.480000	0.012725	0.000194
7.560000	0.013091	0.000254
7.640000	0.012432	0.000127
7.720000	0.012799	0.000207
7.800000	0.012506	0.000147
7.880000	0.012432	0.000127
7.960000	0.012506	0.000147
8.040000	0.012652	0.000179
8.120000	0.012579	0.000164
8.200000	0.012213	0.000000
8.280000	0.012433	0.000127
8.360000	0.012652	0.000179
8.440000	0.012726	0.000194
8.520000	0.012359	0.000104
8.600000	0.012433	0.000127
8.680000	0.012506	0.000147
8.760000	0.012579	0.000164
8.840000	0.012359	0.000104
8.920000	0.012872	0.000220
9.000000	0.012726	0.000194
9.080000	0.012579	0.000164
9.160000	0.012579	0.000164
9.240000	0.012579	0.000164
9.320000	0.012213	0.000000
9.400000	0.012506	0.000147
9.480000	0.012579	0.000164
9.560000	0.012579	0.000164
9.640000	0.012653	0.000179
9.720000	0.012286	0.000073
9.800000	0.012433	0.000127
9.880000	0.012579	0.000164
9.960000	0.012360	0.000104
10.040000	0.012433	0.000127
10.120000	0.012506	0.000147
10.200000	0.012506	0.000147
10.280000	0.012653	0.000179
10.360000	0.012506	0.000147
10.440000	0.012286	0.000073
10.520000	0.012579	0.000164
10.600000	0.012286	0.000073
10.680000	0.012286	0.000073
10.760000	0.012579	0.000164
10.840000	0.012286	0.000073
10.920000	0.012579	0.000164
11.000000	0.012360	0.000104
11.080000	0.012433	0.000127
11.160000	0.012360	0.000104
11.240000	0.012653	0.000179
11.320000	0.012360	0.000104
11.400000	0.012360	0.000104
11.480000	0.012286	0.000073
11.560000	0.012433	0.000127
11.640000	0.012506	0.000147
11.720000	0.012579	0.000164
11.800000	0.012506	0.000147
11.880000	0.012286	0.000073
11.960000	0.012579	0.000164
12.040000	0.012360	0.000104
12.120000	0.012286	0.000073
12.200000	0.012286	0.000073
12.280000	0.012506	0.000147
12.360000	0.012433	0.000127
12.440000	0.012286	0.000073
12.520000	0.012506	0.000147
12.600000	0.012286	0.000073
12.680000	0.012286	0.000073
12.760000	0.012433	0.000127
12.840000	0.012360	0.000104
12.920000	0.012360	0.000104
13.000000	0.012213	0.000000
13.080000	0.012433	0.000127
