#Fig. 1 phi meson spectra

#Au+Au sqrt(s_NN) = 7.7 GeV 
#cen   0-10% most central
#pt_low		pt_high		 pt	        inv. yield	    stat. err       sys. err        tot. err
0.5       0.6        0.5555     2.5916e-002     1.0943e-003     3.0833e-003     3.2718e-003
0.6       0.7        0.6516     2.2775e-002     7.1847e-004     2.7444e-003     2.8369e-003
0.7       0.9        0.8009     1.4852e-002     2.7317e-004     1.8204e-003     1.8407e-003
0.9       1.0        0.9496     9.7496e-003     2.5526e-004     1.2128e-003     1.2393e-003
1.0       1.3        1.1434     5.2350e-003     1.0694e-004     6.6216e-004     6.7074e-004
1.3       1.7        1.4832     1.6080e-003     6.4790e-005     2.0805e-004     2.1791e-004
1.7       2.0        1.8393     3.9624e-004     3.7034e-005     5.2139e-005     6.3953e-005
2.0       2.5        2.2195     1.3186e-004     1.3252e-005     1.7619e-005     2.2047e-005
2.5       3.0        2.7197     2.1718e-005     3.8152e-006     2.9567e-006     4.8268e-006
3.0       4.0        3.3887     3.1948e-006     8.4926e-007     4.5271e-007     9.6239e-007
4.0       5.0        4.3973     1.4667e-007     7.4425e-008     2.3051e-008     7.7913e-008

#Au+Au sqrt(s_NN) = 39 GeV

#cen   0-10%
#pt_low		pt_high		 pt	        inv. yield	    stat. err       sys. err       tot. err
0.4       0.5        0.4467     8.4938e-001     6.0449e-002     1.2802e-001     1.4157e-001
0.5       0.6        0.5497     8.0693e-001     3.6207e-002     1.1791e-001     1.2334e-001
0.6       0.7        0.6559     6.7136e-001     2.1185e-002     9.5354e-002     9.7679e-002
0.7       0.9        0.8049     5.4457e-001     9.9147e-003     7.4507e-002     7.5164e-002
0.9       1.0        0.9502     4.0815e-001     1.0125e-002     5.4132e-002     5.5071e-002
1.0       1.3        1.1477     2.6870e-001     4.4800e-003     3.4528e-002     3.4818e-002
1.3       1.7        1.4892     1.1602e-001     2.7577e-003     1.4476e-002     1.4736e-002
1.7       2.0        1.8419     3.6398e-002     1.7306e-003     4.5360e-003     4.8549e-003
2.0       2.5        2.2245     1.0039e-002     5.0642e-004     1.2807e-003     1.3771e-003
2.5       3.0        2.7221     1.9192e-003     1.7877e-004     2.5667e-004     3.1279e-004
3.0       4.0        3.3865     2.4989e-004     3.0650e-005     3.5525e-005     4.6919e-005
4.0       5.0        4.3813     1.6832e-005     5.3755e-006     2.2991e-006     5.8465e-006

#cen   10-20%
#pt_low		pt_high		 pt	        inv. yield	    stat. err       sys. err       tot. err
0.4       0.5        0.4469     5.5941e-001     3.8399e-002     7.4185e-002     8.3534e-002
0.5       0.6        0.5497     4.8565e-001     1.9260e-002     6.2706e-002     6.5597e-002
0.6       0.7        0.6563     4.6636e-001     1.3878e-002     5.8778e-002     6.0394e-002
0.7       0.9        0.8051     3.5865e-001     5.9450e-003     4.3809e-002     4.4211e-002
0.9       1.0        0.9503     2.6985e-001     6.1495e-003     3.2137e-002     3.2720e-002
1.0       1.3        1.1479     1.8034e-001     2.8460e-003     2.0958e-002     2.1150e-002
1.3       1.7        1.4895     7.3402e-002     1.6817e-003     8.3725e-003     8.5398e-003
1.7       2.0        1.8421     2.3910e-002     1.0353e-003     2.7487e-003     2.9372e-003
2.0       2.5        2.2250     7.0592e-003     3.2103e-004     8.3834e-004     8.9770e-004
2.5       3.0        2.7226     1.4934e-003     1.1683e-004     1.8825e-004     2.2156e-004
3.0       4.0        3.3882     2.1400e-004     2.0405e-005     2.9495e-005     3.5865e-005
4.0       5.0        4.3831     1.5345e-005     3.8874e-006     2.2056e-006     4.4695e-006

#cen   20-30%
#pt_low		pt_high		 pt	        inv. yield	    stat. err       sys. err       tot. err
0.4       0.5        0.4469     3.7803e-001     2.4802e-002     5.0118e-002     5.5919e-002
0.5       0.6        0.5497     3.5975e-001     1.4208e-002     4.6295e-002     4.8427e-002
0.6       0.7        0.6563     3.2252e-001     9.4361e-003     4.0391e-002     4.1479e-002
0.7       0.9        0.8051     2.4510e-001     3.9407e-003     2.9618e-002     2.9879e-002
0.9       1.0        0.9503     1.7585e-001     3.8650e-003     2.0633e-002     2.0992e-002
1.0       1.3        1.1479     1.1550e-001     1.7775e-003     1.3160e-002     1.3280e-002
