proton dca distribution:
dca[cm]	dN/d(dca)[cm^-1]	error
1.560000	0.081592	0.002025
1.640000	0.077602	0.001881
1.720000	0.073225	0.001717
1.800000	0.072151	0.001626
1.880000	0.072911	0.001582
1.960000	0.074039	0.001549
2.040000	0.073466	0.001469
2.120000	0.070933	0.001323
2.200000	0.073913	0.001351
2.280000	0.073380	0.001266
2.360000	0.072343	0.001159
2.440000	0.075269	0.001197
2.520000	0.074509	0.001101
2.600000	0.074878	0.001046
2.680000	0.077148	0.001070
2.760000	0.077111	0.001002
2.840000	0.078119	0.000980
2.920000	0.079402	0.000972
3.000000	0.080272	0.000949
3.080000	0.079013	0.000824
3.160000	0.080871	0.000855
3.240000	0.080174	0.000754
3.320000	0.082426	0.000815
3.400000	0.082128	0.000739
3.480000	0.083408	0.000754
3.560000	0.083862	0.000724
3.640000	0.084265	0.000693
3.720000	0.083159	0.000557
3.800000	0.085444	0.000660
3.880000	0.085795	0.000632
3.960000	0.087049	0.000666
4.040000	0.088091	0.000688
4.120000	0.087375	0.000595
4.200000	0.087398	0.000550
4.280000	0.088417	0.000583
4.360000	0.088458	0.000544
4.440000	0.090101	0.000626
4.520000	0.088706	0.000479
4.600000	0.089605	0.000516
4.680000	0.088758	0.000394
4.760000	0.091151	0.000570
4.840000	0.090771	0.000508
4.920000	0.090455	0.000447
5.000000	0.091148	0.000479
5.080000	0.091220	0.000455
5.160000	0.090843	0.000384
5.240000	0.091738	0.000447
5.320000	0.091842	0.000430
5.400000	0.091844	0.000403
5.480000	0.092863	0.000479
5.560000	0.092578	0.000430
5.640000	0.092366	0.000384
5.720000	0.092657	0.000394
5.800000	0.093107	0.000421
5.880000	0.092773	0.000365
5.960000	0.093374	0.000412
6.040000	0.093621	0.000421
6.120000	0.094288	0.000471
6.200000	0.094259	0.000455
6.280000	0.093620	0.000375
6.360000	0.094520	0.000455
6.440000	0.093865	0.000375
6.520000	0.094063	0.000384
6.600000	0.093825	0.000344
6.680000	0.093752	0.000322
6.760000	0.094533	0.000403
6.840000	0.094879	0.000430
6.920000	0.094102	0.000333
7.000000	0.094524	0.000375
7.080000	0.095027	0.000421
7.160000	0.095010	0.000412
7.240000	0.094902	0.000394
7.320000	0.094706	0.000365
7.400000	0.095279	0.000421
7.480000	0.094043	0.000258
7.560000	0.095297	0.000412
7.640000	0.094572	0.000322
7.720000	0.094874	0.000354
