Figure 3-2
--------------------------------------------------------------------
200 GeV, Au+Au, 30-40% centrality, unlike-sign kaons
0.28<=dy<0.36 	 35<=dphi<45 	 R2=6.33558e-05
0.36<=dy<0.44 	 35<=dphi<45 	 R2=-0.00017416
0.44<=dy<0.52 	 35<=dphi<45 	 R2=0.000516384
0.52<=dy<0.6 	 35<=dphi<45 	 R2=0.00627741
0.6<=dy<0.68 	 35<=dphi<45 	 R2=0.0158119
0.68<=dy<0.76 	 35<=dphi<45 	 R2=-0.00322245
-0.76<=dy<-0.68 	 45<=dphi<55 	 R2=-0.0138268
-0.68<=dy<-0.6 	 45<=dphi<55 	 R2=-0.000410178
-0.6<=dy<-0.52 	 45<=dphi<55 	 R2=-0.00168123
-0.52<=dy<-0.44 	 45<=dphi<55 	 R2=-0.00507504
-0.44<=dy<-0.36 	 45<=dphi<55 	 R2=-0.00173026
-0.36<=dy<-0.28 	 45<=dphi<55 	 R2=0.0011709
-0.28<=dy<-0.2 	 45<=dphi<55 	 R2=0.00393711
-0.2<=dy<-0.12 	 45<=dphi<55 	 R2=-0.000956419
-0.12<=dy<-0.04 	 45<=dphi<55 	 R2=0.00133241
-0.04<=dy<0.04 	 45<=dphi<55 	 R2=-0.00220676
0.04<=dy<0.12 	 45<=dphi<55 	 R2=0.00131311
0.12<=dy<0.2 	 45<=dphi<55 	 R2=-0.00157554
0.2<=dy<0.28 	 45<=dphi<55 	 R2=-0.00500981
0.28<=dy<0.36 	 45<=dphi<55 	 R2=-0.00528893
0.36<=dy<0.44 	 45<=dphi<55 	 R2=-0.00196793
0.44<=dy<0.52 	 45<=dphi<55 	 R2=-0.00299388
0.52<=dy<0.6 	 45<=dphi<55 	 R2=-0.00393007
0.6<=dy<0.68 	 45<=dphi<55 	 R2=0.00669128
0.68<=dy<0.76 	 45<=dphi<55 	 R2=-0.0187698
-0.76<=dy<-0.68 	 55<=dphi<65 	 R2=-0.0243539
-0.68<=dy<-0.6 	 55<=dphi<65 	 R2=-0.00907628
-0.6<=dy<-0.52 	 55<=dphi<65 	 R2=-0.011076
-0.52<=dy<-0.44 	 55<=dphi<65 	 R2=-0.00320304
-0.44<=dy<-0.36 	 55<=dphi<65 	 R2=-0.00989833
-0.36<=dy<-0.28 	 55<=dphi<65 	 R2=-0.00583422
-0.28<=dy<-0.2 	 55<=dphi<65 	 R2=-0.00325317
-0.2<=dy<-0.12 	 55<=dphi<65 	 R2=-0.00559534
-0.12<=dy<-0.04 	 55<=dphi<65 	 R2=-0.00531642
-0.04<=dy<0.04 	 55<=dphi<65 	 R2=-0.00666496
0.04<=dy<0.12 	 55<=dphi<65 	 R2=-0.00579119
0.12<=dy<0.2 	 55<=dphi<65 	 R2=-0.00616073
0.2<=dy<0.28 	 55<=dphi<65 	 R2=-0.0100089
0.28<=dy<0.36 	 55<=dphi<65 	 R2=-0.0100217
0.36<=dy<0.44 	 55<=dphi<65 	 R2=-0.008033
0.44<=dy<0.52 	 55<=dphi<65 	 R2=-0.0119043
0.52<=dy<0.6 	 55<=dphi<65 	 R2=-0.0213259
0.6<=dy<0.68 	 55<=dphi<65 	 R2=0.00906859
0.68<=dy<0.76 	 55<=dphi<65 	 R2=-0.02258
-0.76<=dy<-0.68 	 65<=dphi<75 	 R2=-0.00310294
-0.68<=dy<-0.6 	 65<=dphi<75 	 R2=-0.0166566
-0.6<=dy<-0.52 	 65<=dphi<75 	 R2=-0.0133061
-0.52<=dy<-0.44 	 65<=dphi<75 	 R2=-0.00997153
-0.44<=dy<-0.36 	 65<=dphi<75 	 R2=-0.010576
-0.36<=dy<-0.28 	 65<=dphi<75 	 R2=-0.0112881
-0.28<=dy<-0.2 	 65<=dphi<75 	 R2=-0.0129493
-0.2<=dy<-0.12 	 65<=dphi<75 	 R2=-0.00541495
-0.12<=dy<-0.04 	 65<=dphi<75 	 R2=-0.0075234
-0.04<=dy<0.04 	 65<=dphi<75 	 R2=-0.00487076
0.04<=dy<0.12 	 65<=dphi<75 	 R2=-0.00833425
0.12<=dy<0.2 	 65<=dphi<75 	 R2=-0.0111241
0.2<=dy<0.28 	 65<=dphi<75 	 R2=-0.0148226
0.28<=dy<0.36 	 65<=dphi<75 	 R2=-0.0141805
0.36<=dy<0.44 	 65<=dphi<75 	 R2=-0.00340597
0.44<=dy<0.52 	 65<=dphi<75 	 R2=-0.0150575
0.52<=dy<0.6 	 65<=dphi<75 	 R2=-0.0132324
0.6<=dy<0.68 	 65<=dphi<75 	 R2=-0.0151945
0.68<=dy<0.76 	 65<=dphi<75 	 R2=-0.00854193
-0.76<=dy<-0.68 	 75<=dphi<85 	 R2=-0.0286835
-0.68<=dy<-0.6 	 75<=dphi<85 	 R2=-0.0223892
-0.6<=dy<-0.52 	 75<=dphi<85 	 R2=-0.0048447
-0.52<=dy<-0.44 	 75<=dphi<85 	 R2=-0.0131093
-0.44<=dy<-0.36 	 75<=dphi<85 	 R2=-0.0175528
-0.36<=dy<-0.28 	 75<=dphi<85 	 R2=-0.0147129
