Figure 1-2
--------------------------------------------------------------------
7.7 GeV, Au+Au, 30-40% centrality, unlike-sign pions
0.15<=dy<0.21 	 25<=dphi<35 	 R2=0.00359991
0.21<=dy<0.27 	 25<=dphi<35 	 R2=0.00390652
0.27<=dy<0.33 	 25<=dphi<35 	 R2=0.00474476
0.33<=dy<0.39 	 25<=dphi<35 	 R2=-0.00114613
0.39<=dy<0.45 	 25<=dphi<35 	 R2=-0.00714047
0.45<=dy<0.51 	 25<=dphi<35 	 R2=0.0188889
0.51<=dy<0.57 	 25<=dphi<35 	 R2=-0.00888052
0.57<=dy<0.63 	 25<=dphi<35 	 R2=-0.00402119
0.63<=dy<0.69 	 25<=dphi<35 	 R2=-0.00712437
0.69<=dy<0.75 	 25<=dphi<35 	 R2=0.0172205
0.75<=dy<0.81 	 25<=dphi<35 	 R2=-0.0324273
-0.81<=dy<-0.75 	 35<=dphi<45 	 R2=-0.00479307
-0.75<=dy<-0.69 	 35<=dphi<45 	 R2=0.00890138
-0.69<=dy<-0.63 	 35<=dphi<45 	 R2=-0.000733771
-0.63<=dy<-0.57 	 35<=dphi<45 	 R2=-0.00381225
-0.57<=dy<-0.51 	 35<=dphi<45 	 R2=-0.0125059
-0.51<=dy<-0.45 	 35<=dphi<45 	 R2=-0.00507925
-0.45<=dy<-0.39 	 35<=dphi<45 	 R2=-0.0017935
-0.39<=dy<-0.33 	 35<=dphi<45 	 R2=0.0116925
-0.33<=dy<-0.27 	 35<=dphi<45 	 R2=0.000943023
-0.27<=dy<-0.21 	 35<=dphi<45 	 R2=0.0121515
-0.21<=dy<-0.15 	 35<=dphi<45 	 R2=0.00857867
-0.15<=dy<-0.09 	 35<=dphi<45 	 R2=0.014849
-0.09<=dy<-0.03 	 35<=dphi<45 	 R2=-0.00558017
-0.03<=dy<0.03 	 35<=dphi<45 	 R2=0.00588106
0.03<=dy<0.09 	 35<=dphi<45 	 R2=-0.00270732
0.09<=dy<0.15 	 35<=dphi<45 	 R2=0.00266721
0.15<=dy<0.21 	 35<=dphi<45 	 R2=0.00789476
0.21<=dy<0.27 	 35<=dphi<45 	 R2=-0.000971882
0.27<=dy<0.33 	 35<=dphi<45 	 R2=0.00209737
0.33<=dy<0.39 	 35<=dphi<45 	 R2=-0.000712276
0.39<=dy<0.45 	 35<=dphi<45 	 R2=0.00766335
0.45<=dy<0.51 	 35<=dphi<45 	 R2=-0.0136311
0.51<=dy<0.57 	 35<=dphi<45 	 R2=-0.00414346
0.57<=dy<0.63 	 35<=dphi<45 	 R2=-0.00471527
0.63<=dy<0.69 	 35<=dphi<45 	 R2=-0.00715018
0.69<=dy<0.75 	 35<=dphi<45 	 R2=-0.00407898
0.75<=dy<0.81 	 35<=dphi<45 	 R2=0.000457324
-0.81<=dy<-0.75 	 45<=dphi<55 	 R2=0.0251359
-0.75<=dy<-0.69 	 45<=dphi<55 	 R2=-0.0108414
-0.69<=dy<-0.63 	 45<=dphi<55 	 R2=0.0146323
-0.63<=dy<-0.57 	 45<=dphi<55 	 R2=-0.00261734
-0.57<=dy<-0.51 	 45<=dphi<55 	 R2=-0.00560224
-0.51<=dy<-0.45 	 45<=dphi<55 	 R2=-0.00238421
-0.45<=dy<-0.39 	 45<=dphi<55 	 R2=-0.00445118
-0.39<=dy<-0.33 	 45<=dphi<55 	 R2=0.00510656
-0.33<=dy<-0.27 	 45<=dphi<55 	 R2=-0.00582331
-0.27<=dy<-0.21 	 45<=dphi<55 	 R2=0.00532476
-0.21<=dy<-0.15 	 45<=dphi<55 	 R2=0.000208296
-0.15<=dy<-0.09 	 45<=dphi<55 	 R2=0.00280023
-0.09<=dy<-0.03 	 45<=dphi<55 	 R2=-0.00683502
-0.03<=dy<0.03 	 45<=dphi<55 	 R2=0.00441508
0.03<=dy<0.09 	 45<=dphi<55 	 R2=0.00238151
0.09<=dy<0.15 	 45<=dphi<55 	 R2=0.000344198
0.15<=dy<0.21 	 45<=dphi<55 	 R2=-7.36976e-05
0.21<=dy<0.27 	 45<=dphi<55 	 R2=-0.00477249
0.27<=dy<0.33 	 45<=dphi<55 	 R2=-0.000846857
0.33<=dy<0.39 	 45<=dphi<55 	 R2=-0.00122669
0.39<=dy<0.45 	 45<=dphi<55 	 R2=0.00582955
0.45<=dy<0.51 	 45<=dphi<55 	 R2=0.0155962
0.51<=dy<0.57 	 45<=dphi<55 	 R2=-0.00125267
