# M_{ee}   dM_{ee}   dN/dM_{ee}   stat.  syst.  cock.  ratio.  ratio(Rapp).  ratio(PHSD).
# Central
0.765 0.03 0.0117832 0.000927162 0.00177465 0.0116445 1.01191 1.49496 1.46207
0.7825 0.005 0.0220648 0.0022254 0.00315167 0.0280829 0.785702 1.18704 1.16064
0.7875 0.005 0.0218701 0.00221453 0.00325944 0.0218928 0.998962 1.22765 1.20601
0.795 0.01 0.0108315 0.00153302 0.00160225 0.010557 1.026 1.42879 1.38283
0.845 0.09 0.00431177 0.000475128 0.000702728 0.00287389 1.50032 1.88999 1.7957
0.9275 0.075 0.00360686 0.000458784 0.000545626 0.00233709 1.54331 1.54612 1.47449
0.9825 0.035 0.0052739 0.000616838 0.000790726 0.00366435 1.43924 1.34842 1.22562
1.005 0.01 0.0101367 0.000992463 0.00144191 0.0106165 0.954803 1.07865 1.0717
1.0125 0.005 0.0212286 0.00139961 0.0030468 0.0206787 1.02659 1.04042 1.03534
1.0175 0.005 0.0245764 0.00131026 0.00355137 0.0258674 0.950092 1.03231 1.02825
1.0275 0.015 0.0129974 0.000741788 0.00199134 0.0155492 0.83589 1.05373 1.04508
1.0825 0.095 0.00211539 0.000268602 0.000669329 0.00190717 1.10917 1.39074 1.31676
1.19 0.12 0.0014797 0.000202484 0.000469201 0.00114937 1.2874 1.41138 1.38454
1.35 0.2 0.000978527 0.00012377 0.000277335 0.000794974 1.23089 1.32077 1.36597
1.55 0.2 0.000746311 9.24155e-05 0.000164972 0.000509844 1.4638 1.23124 1.33396
1.7625 0.225 0.000462905 6.48445e-05 0.000102759 0.000321612 1.43933 1.17109 1.31115
1.975 0.2 0.000257686 5.15696e-05 5.31605e-05 0.000206448 1.24819 1.12751 1.29403
2.1625 0.175 0.000170155 4.31204e-05 3.63068e-05 0.00014491 1.17421 1.09732 1.28179
2.3625 0.225 9.65596e-05 2.96596e-05 2.20914e-05 0.000103672 0.931399 1.0729 1.27024
2.57 0.19 0.000128716 2.52203e-05 2.25285e-05 7.95953e-05 1.61713 1.04916 1.24177
2.7575 0.185 9.10619e-05 2.06244e-05 1.57548e-05 7.1149e-05 1.27988 1.03092 1.20275
2.92 0.14 0.000127805 2.00228e-05 1.97273e-05 9.74393e-05 1.31164 1.0138 1.11492
3.005 0.03 0.000265461 4.06234e-05 3.69188e-05 0.000192316 1.38034 1.00517 1.05174
3.0275 0.015 0.000370162 5.72093e-05 5.09898e-05 0.000299844 1.23451 1.00296 1.03201
3.045 0.02 0.000636503 5.09223e-05 8.73091e-05 0.000518681 1.22716 1.00169 1.01803
3.0625 0.015 0.000926744 6.1077e-05 0.000127424 0.00088172 1.05106 1.00102 1.01036
3.0725 0.005 0.00121053 0.000109272 0.00016648 0.00111894 1.08185 1.0008 1.00803
3.0825 0.015 0.00132385 6.35627e-05 0.000181691 0.00129669 1.02094 1.00068 1.00682
3.0925 0.005 0.00161334 0.000114071 0.000221281 0.00137647 1.17209 1.00068 1.00629
3.0975 0.005 0.00157008 0.000113313 0.000216385 0.00136039 1.15414 1.00067 1.00641
3.1075 0.015 0.00140301 6.35075e-05 0.000192974 0.00120994 1.15957 1.00054 1.00701
3.1225 0.015 0.000977449 5.88771e-05 0.000134393 0.00085771 1.1396 1.00077 1.00964
3.1775 0.095 0.000147595 1.87973e-05 2.03164e-05 0.000188209 0.784209 1.00324 1.04113
3.3125 0.175 3.74907e-05 1.1621e-05 5.31623e-06 3.16682e-05 1.18386 1.01309 1.20865
3.625 0.45 2.52176e-05 5.37714e-06 3.51116e-06 2.37701e-05 1.0609 1.00707 1.17786
4.125 0.55 1.07294e-05 3.05275e-06 1.49114e-06 1.14182e-05 0.939677 1.00357 1
