# M_{ee}   dM_{ee}   dN/dM_{ee}   stat.  syst.  cock.  ratio.  ratio(Rapp).  ratio(PHSD).
# pT:0.0-0.5 GeV/c
2.575 0.53 1.58872e-05 6.03851e-06 4.32915e-06 1.23e-05 1.29164 1.05405 1.05058
2.9325 0.185 2.18597e-05 6.76252e-06 4.09175e-06 1.94012e-05 1.12672 1.01162 1.01722
3.04 0.03 7.44563e-05 1.57757e-05 1.02611e-05 7.85117e-05 0.948346 1.00202 1.00342
3.0625 0.015 0.000176788 2.3929e-05 2.43716e-05 0.000157337 1.12362 1.00101 1.00166
3.0725 0.005 0.000192176 4.17932e-05 2.66388e-05 0.000203683 0.943504 1.00077 1.00128
3.0825 0.015 0.000293661 2.56468e-05 4.04326e-05 0.000233465 1.25784 1.00068 1.00112
3.0925 0.005 0.000320062 4.53833e-05 4.41668e-05 0.000250665 1.27685 1.00063 1.00105
3.0975 0.005 0.000273447 4.35959e-05 3.773e-05 0.000243629 1.12239 1.00065 1.00108
3.1125 0.025 0.000222988 1.87011e-05 3.08186e-05 0.000196733 1.13345 1.0006 1.00134
3.1375 0.025 5.79225e-05 1.57053e-05 8.03912e-06 8.99195e-05 0.644159 1.00133 1.00288
3.275 0.25 6.14145e-06 3.95663e-06 8.5161e-07 9.03507e-06 0.679735 1.00957 1.02284
3.7 0.6 4.62781e-06 1.662e-06 6.38209e-07 3.47011e-06 1.33362 1.00794 1.02778
# pT integrated 
0.005 0.01 8.54261 0.00419677 1.189 9.35166 0.913486 1.00978 1
0.015 0.01 2.3376 0.00208122 0.325913 2.56529 0.911243 1.00672 1.00337
0.025 0.01 1.24544 0.00154769 0.174053 1.42705 0.872738 1.01208 1.00196
0.035 0.01 0.817673 0.00133036 0.114258 0.925315 0.88367 1.01863 1.00182
0.045 0.01 0.582377 0.00122807 0.0815885 0.66534 0.875307 1.0259 1.00183
0.055 0.01 0.429094 0.00117716 0.0600982 0.475746 0.901939 1.02315 1.00196
0.065 0.01 0.316058 0.00187224 0.0420803 0.355362 0.889397 1.031 1.00218
0.075 0.01 0.23654 0.0011708 0.0333959 0.247437 0.955961 1.04452 1.00258
0.085 0.01 0.167618 0.00117382 0.0236183 0.175643 0.954313 1.06269 1.00313
0.095 0.01 0.113203 0.00119146 0.0159434 0.11411 0.992055 1.09653 1.00423
0.105 0.01 0.06945 0.00120323 0.00981721 0.0741105 0.937114 1.13143 1.00623
0.1175 0.015 0.0441837 0.00101327 0.00625435 0.0403799 1.0942 1.24117 1.01172
0.15 0.05 0.0259795 0.000600504 0.0036982 0.0216886 1.19784 1.40085 1.01881
0.1875 0.025 0.0211262 0.000924451 0.00308767 0.0166808 1.2665 1.45844 1.04335
0.255 0.11 0.0133803 0.000491921 0.00194788 0.0115011 1.1634 1.44265 1.03742
0.355 0.09 0.0102765 0.000614786 0.00170568 0.00716392 1.43448 1.60655 1.22885
0.455 0.11 0.00903929 0.000631918 0.0013497 0.00470427 1.92151 1.98273 1.7768
0.57 0.12 0.00726674 0.000588825 0.00143127 0.00385776 1.88367 2.27209 2.22015
0.69 0.12 0.00767194 0.000513098 0.00124507 0.00349329 2.19619 2.61868 2.65971
0.765 0.03 0.0117832 0.000927162 0.00177465 0.0116225 1.01382 1.49589 1.46294
0.7825 0.005 0.0220648 0.0022254 0.00315167 0.028027 0.78727 1.18741 1.16096
0.7875 0.005 0.0218701 0.00221453 0.00325944 0.0218478 1.00102 1.22812 1.20643
